#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BRD2	MYC	9606.ENSP00000378702	9606.ENSP00000478887	0	0	0	0	0.054	0.346	0	0.587	0.722
BRD2	H4C8	9606.ENSP00000378702	9606.ENSP00000489236	0	0	0	0	0.042	0.916	0	0.116	0.923
BRD2	H4C14	9606.ENSP00000378702	9606.ENSP00000462667	0	0	0	0	0.044	0.916	0	0.133	0.924
BRD9	SMARCC1	9606.ENSP00000419765	9606.ENSP00000254480	0	0	0	0	0.195	0.798	0.900	0.928	0.998
BRD9	BICRAL	9606.ENSP00000419765	9606.ENSP00000313933	0	0	0	0	0	0.606	0.900	0.983	0.999
BRD9	SMARCD1	9606.ENSP00000419765	9606.ENSP00000378414	0	0	0	0	0.119	0.902	0.900	0.828	0.998
BRD9	BRD2	9606.ENSP00000419765	9606.ENSP00000378702	0	0	0	0.557	0.081	0.606	0	0.289	0.720
BRD9	SMARCD2	9606.ENSP00000419765	9606.ENSP00000392617	0	0	0	0	0.092	0.470	0.900	0.565	0.976
BTN3A1	BTN3A3	9606.ENSP00000289361	9606.ENSP00000244519	0	0	0.049	0.982	0.787	0.619	0.400	0.380	0.966
BTN3A1	BTN3A2	9606.ENSP00000289361	9606.ENSP00000366937	0	0	0.050	0.980	0.769	0.934	0.400	0.380	0.993
BTN3A2	BTN3A3	9606.ENSP00000366937	9606.ENSP00000244519	0	0	0.048	0.984	0.776	0.721	0.400	0.052	0.960
BTN3A2	BTN3A1	9606.ENSP00000366937	9606.ENSP00000289361	0	0	0.050	0.980	0.769	0.934	0.400	0.380	0.993
BTN3A2	PSMB9	9606.ENSP00000366937	9606.ENSP00000363993	0	0	0	0	0.528	0	0	0.482	0.746
BTN3A3	BTN3A2	9606.ENSP00000244519	9606.ENSP00000366937	0	0	0.048	0.984	0.776	0.721	0.400	0.052	0.960
BTN3A3	BTN3A1	9606.ENSP00000244519	9606.ENSP00000289361	0	0	0.049	0.982	0.787	0.619	0.400	0.380	0.966
BTNL2	HLA-DRB1	9606.ENSP00000390613	9606.ENSP00000353099	0	0	0	0	0.067	0.128	0	0.825	0.845
BTNL2	HLA-DQB1	9606.ENSP00000390613	9606.ENSP00000364080	0	0	0	0	0.067	0.129	0	0.726	0.758
BTNL2	HLA-DRA	9606.ENSP00000390613	9606.ENSP00000378786	0	0	0	0	0.051	0.128	0	0.749	0.774
C19orf33	PPP1R14A	9606.ENSP00000301246	9606.ENSP00000301242	0	0	0	0	0.083	0	0	0.770	0.780
C19orf33	SPINT2	9606.ENSP00000301246	9606.ENSP00000301244	0	0	0	0	0.197	0	0	0.860	0.882
C2	CFB	9606.ENSP00000299367	9606.ENSP00000416561	0	0	0.066	0.878	0.308	0	0.540	0.142	0.710
C2	DXO	9606.ENSP00000299367	9606.ENSP00000364498	0	0	0	0	0	0	0	0.740	0.740
C2	C4A	9606.ENSP00000299367	9606.ENSP00000396688	0	0	0	0	0.131	0.126	0.800	0.732	0.953
C2	C4B	9606.ENSP00000299367	9606.ENSP00000415941	0	0	0	0	0.127	0.553	0.800	0.723	0.975
C4A	C2	9606.ENSP00000396688	9606.ENSP00000299367	0	0	0	0	0.131	0.126	0.800	0.732	0.953
C4A	HLA-DRB1	9606.ENSP00000396688	9606.ENSP00000353099	0	0	0	0	0.069	0	0	0.754	0.761
C4A	STK19	9606.ENSP00000396688	9606.ENSP00000364482	0	0.264	0	0	0	0	0	0.804	0.850
C4A	HLA-A	9606.ENSP00000396688	9606.ENSP00000379873	0	0	0	0	0.067	0	0	0.755	0.761
C4A	TNXB	9606.ENSP00000396688	9606.ENSP00000407685	0	0	0	0	0.110	0	0	0.842	0.853
C4A	HLA-B	9606.ENSP00000396688	9606.ENSP00000399168	0	0	0	0	0.083	0	0	0.870	0.875
C4A	CYP21A2	9606.ENSP00000396688	9606.ENSP00000496625	0	0	0	0	0.143	0.053	0	0.913	0.923
C4A	CFB	9606.ENSP00000396688	9606.ENSP00000416561	0	0	0	0	0.232	0.126	0.540	0.916	0.970
C4A	C4B	9606.ENSP00000396688	9606.ENSP00000415941	0	0	0.046	0.988	0.819	0.623	0.900	0.982	0.999
C4B	C2	9606.ENSP00000415941	9606.ENSP00000299367	0	0	0	0	0.127	0.553	0.800	0.723	0.975
C4B	C4A	9606.ENSP00000415941	9606.ENSP00000396688	0	0	0.046	0.988	0.819	0.623	0.900	0.982	0.999
C4B	CYP21A2	9606.ENSP00000415941	9606.ENSP00000496625	0	0	0	0	0.097	0.053	0	0.723	0.742
C4B	CFB	9606.ENSP00000415941	9606.ENSP00000416561	0	0	0	0	0.196	0.126	0.540	0.858	0.948
CALCOCO2	TAX1BP1	9606.ENSP00000398523	9606.ENSP00000379612	0	0	0	0.665	0.060	0.530	0	0.461	0.741
CAPN12	ACTN4	9606.ENSP00000331636	9606.ENSP00000252699	0	0	0	0	0.064	0	0	0.788	0.793
CASP10	CFLAR	9606.ENSP00000286186	9606.ENSP00000312455	0	0	0	0.617	0.146	0.829	0.900	0.900	0.998
CASP10	CASP8	9606.ENSP00000286186	9606.ENSP00000351273	0	0	0	0.832	0.149	0.880	0.900	0.985	0.999
CASP8	CASP10	9606.ENSP00000351273	9606.ENSP00000286186	0	0	0	0.832	0.149	0.880	0.900	0.985	0.999
CASP8	CFLAR	9606.ENSP00000351273	9606.ENSP00000312455	0	0	0	0.651	0.157	0.991	0.900	0.991	0.999
CASP8	MYC	9606.ENSP00000351273	9606.ENSP00000478887	0	0	0	0	0.067	0.124	0	0.763	0.790
CBX7	CDC23	9606.ENSP00000216133	9606.ENSP00000378350	0	0	0	0	0	0	0.720	0	0.720
CBX7	UBAP2L	9606.ENSP00000216133	9606.ENSP00000389445	0	0	0	0	0	0	0.900	0	0.900
CBX7	PCGF6	9606.ENSP00000216133	9606.ENSP00000358862	0	0	0	0	0	0.756	0.900	0.613	0.989
CBX7	PHC3	9606.ENSP00000216133	9606.ENSP00000420294	0	0	0	0	0	0.851	0.900	0.580	0.993
CCHCR1	HLA-C	9606.ENSP00000379566	9606.ENSP00000365402	0	0	0	0	0.047	0	0	0.852	0.852
CCHCR1	TCF19	9606.ENSP00000379566	9606.ENSP00000365433	0	0	0	0	0.108	0	0	0.784	0.799
CCND1	LTO1	9606.ENSP00000227507	9606.ENSP00000279147	0	0	0	0	0.087	0	0	0.695	0.709
CCND1	MYC	9606.ENSP00000227507	9606.ENSP00000478887	0	0	0	0	0.067	0	0.400	0.950	0.969
CCND1	CDC25A	9606.ENSP00000227507	9606.ENSP00000303706	0	0	0	0	0.075	0	0.900	0.704	0.970
CCNT1	GTF2H4	9606.ENSP00000261900	9606.ENSP00000259895	0	0	0	0	0.055	0	0.900	0.069	0.904
CCNT1	CTDP1	9606.ENSP00000261900	9606.ENSP00000484525	0	0	0	0	0.220	0	0.500	0.407	0.748
CCNT1	BRD2	9606.ENSP00000261900	9606.ENSP00000378702	0	0	0	0	0.119	0.045	0	0.867	0.878
CCNT1	TCEA2	9606.ENSP00000261900	9606.ENSP00000343515	0	0	0	0	0.060	0.091	0.900	0.373	0.939
CCNT1	NELFE	9606.ENSP00000261900	9606.ENSP00000364578	0	0	0	0	0.109	0.132	0.900	0.635	0.968
CCNT1	MYC	9606.ENSP00000261900	9606.ENSP00000478887	0	0	0	0	0.054	0.778	0	0.894	0.975
CCT3	TUBA1C	9606.ENSP00000295688	9606.ENSP00000443475	0	0	0	0	0.221	0.136	0.500	0.268	0.721
CCT3	RUVBL1	9606.ENSP00000295688	9606.ENSP00000318297	0	0	0	0	0.456	0.094	0.540	0.212	0.797
CCT3	TCP1	9606.ENSP00000295688	9606.ENSP00000317334	0	0	0.070	0.812	0.927	0.997	0.967	0.965	0.999
CD33	MICB	9606.ENSP00000262262	9606.ENSP00000252229	0	0	0	0	0.043	0.130	0	0.731	0.756
CD47	SIGLEC10	9606.ENSP00000355361	9606.ENSP00000345243	0	0	0	0	0	0	0	0.928	0.928
CD47	PRR13	9606.ENSP00000355361	9606.ENSP00000412064	0	0	0	0	0.049	0	0	0.726	0.728
CD47	THBS3	9606.ENSP00000355361	9606.ENSP00000357362	0	0	0	0	0.068	0	0.900	0.344	0.933
CDC23	CBX7	9606.ENSP00000378350	9606.ENSP00000216133	0	0	0	0	0	0	0.720	0	0.720
CDC23	PCGF6	9606.ENSP00000378350	9606.ENSP00000358862	0	0	0	0	0.085	0.075	0.900	0.074	0.911
CDC23	VARS1	9606.ENSP00000378350	9606.ENSP00000364815	0.108	0	0	0	0.598	0	0	0.254	0.709
CDC23	PHC3	9606.ENSP00000378350	9606.ENSP00000420294	0	0	0	0	0	0	0.900	0	0.900
CDC25A	CCND1	9606.ENSP00000303706	9606.ENSP00000227507	0	0	0	0	0.075	0	0.900	0.704	0.970
CDC25A	ATRIP	9606.ENSP00000303706	9606.ENSP00000323099	0	0	0	0	0.080	0	0.500	0.521	0.760
CDC25A	MYC	9606.ENSP00000303706	9606.ENSP00000478887	0	0	0	0	0.088	0.053	0.750	0.797	0.950
CDK5RAP1	PRPF40B	9606.ENSP00000217372	9606.ENSP00000448073	0	0.685	0	0	0.094	0	0	0	0.702
CERS2	SLC22A1	9606.ENSP00000271688	9606.ENSP00000355930	0	0	0	0	0	0.465	0	0.762	0.867
CERS2	CERS5	9606.ENSP00000271688	9606.ENSP00000325485	0	0	0.080	0.912	0.043	0	0.900	0.408	0.940
CERS5	CERS2	9606.ENSP00000325485	9606.ENSP00000271688	0	0	0.080	0.912	0.043	0	0.900	0.408	0.940
CFAP44	CFAP69	9606.ENSP00000377428	9606.ENSP00000373948	0	0	0	0	0.104	0	0	0.786	0.800
CFAP69	CFAP44	9606.ENSP00000373948	9606.ENSP00000377428	0	0	0	0	0.104	0	0	0.786	0.800
CFB	C2	9606.ENSP00000416561	9606.ENSP00000299367	0	0	0.066	0.878	0.308	0	0.540	0.142	0.710
CFB	C4A	9606.ENSP00000416561	9606.ENSP00000396688	0	0	0	0	0.232	0.126	0.540	0.916	0.970
CFB	C4B	9606.ENSP00000416561	9606.ENSP00000415941	0	0	0	0	0.196	0.126	0.540	0.858	0.948
CFLAR	ATG3	9606.ENSP00000312455	9606.ENSP00000283290	0	0	0	0	0.049	0.292	0.900	0.942	0.995
CFLAR	CASP10	9606.ENSP00000312455	9606.ENSP00000286186	0	0	0	0.617	0.146	0.829	0.900	0.900	0.998
CFLAR	TNFRSF10D	9606.ENSP00000312455	9606.ENSP00000310263	0	0	0	0	0.044	0.045	0	0.713	0.715
CFLAR	CASP8	9606.ENSP00000312455	9606.ENSP00000351273	0	0	0	0.651	0.157	0.991	0.900	0.991	0.999
CGN	RHOA	9606.ENSP00000271636	9606.ENSP00000400175	0	0	0	0	0.042	0.070	0.800	0.642	0.927
CHMP2B	ALS2	9606.ENSP00000263780	9606.ENSP00000264276	0	0	0	0	0.042	0	0	0.789	0.789
CHMP2B	SNF8	9606.ENSP00000263780	9606.ENSP00000421380	0	0	0	0	0.049	0	0.900	0.353	0.933
CHMP2B	CHMP7	9606.ENSP00000263780	9606.ENSP00000380794	0	0	0	0	0.049	0	0.900	0.742	0.973
CHMP7	CHMP2B	9606.ENSP00000380794	9606.ENSP00000263780	0	0	0	0	0.049	0	0.900	0.742	0.973
CHMP7	SNF8	9606.ENSP00000380794	9606.ENSP00000421380	0	0	0	0	0.072	0.095	0.900	0.401	0.942
CLIC1	PHC3	9606.ENSP00000364935	9606.ENSP00000420294	0	0	0	0	0	0	0	0.717	0.717
CNBP	SUFU	9606.ENSP00000410769	9606.ENSP00000358918	0	0	0	0	0	0	0	0.828	0.828
COPZ2	SCYL1	9606.ENSP00000480707	9606.ENSP00000270176	0	0	0	0	0.064	0.071	0.900	0	0.905
COX18	SEC61A1	9606.ENSP00000425261	9606.ENSP00000243253	0	0	0	0	0.111	0.487	0.585	0.310	0.852
COX18	IMMT	9606.ENSP00000425261	9606.ENSP00000387262	0	0	0	0	0.049	0	0	0.804	0.806
CPSF1	PPP1CA	9606.ENSP00000484669	9606.ENSP00000326031	0	0	0	0	0.068	0.718	0.650	0.254	0.922
CPSF1	TSEN15	9606.ENSP00000484669	9606.ENSP00000355299	0	0	0	0	0	0	0.800	0	0.800
CREB3L4	ATF6B	9606.ENSP00000271889	9606.ENSP00000364349	0	0	0	0.578	0	0.071	0.900	0.302	0.929
CSNK2B	RRP7A	9606.ENSP00000365042	9606.ENSP00000321449	0	0	0	0	0.057	0.572	0	0.873	0.944
CSNK2B	BRD2	9606.ENSP00000365042	9606.ENSP00000378702	0	0	0	0	0.070	0.803	0	0.208	0.843
CTC1	RTEL1	9606.ENSP00000498499	9606.ENSP00000353332	0	0	0	0	0.049	0	0	0.874	0.875
CTC1	ACD	9606.ENSP00000498499	9606.ENSP00000483117	0	0	0	0	0.049	0	0.720	0.677	0.906
CTDP1	CCNT1	9606.ENSP00000484525	9606.ENSP00000261900	0	0	0	0	0.220	0	0.500	0.407	0.748
CWC25	DHX38	9606.ENSP00000478070	9606.ENSP00000268482	0	0	0	0	0.055	0.991	0	0.859	0.998
CWC25	DDX23	9606.ENSP00000478070	9606.ENSP00000310723	0	0	0	0	0.056	0.127	0	0.707	0.737
CWC25	SF3B2	9606.ENSP00000478070	9606.ENSP00000318861	0	0	0	0	0.049	0	0.400	0.584	0.742
CWC25	DHX16	9606.ENSP00000478070	9606.ENSP00000365625	0	0	0	0	0.081	0.289	0.400	0.762	0.894
CYP21A2	STK19	9606.ENSP00000496625	9606.ENSP00000364482	0	0	0	0	0.056	0	0	0.842	0.844
CYP21A2	C4A	9606.ENSP00000496625	9606.ENSP00000396688	0	0	0	0	0.143	0.053	0	0.913	0.923
CYP21A2	TNXB	9606.ENSP00000496625	9606.ENSP00000407685	0	0.001	0	0	0.072	0	0	0.948	0.949
CYP21A2	C4B	9606.ENSP00000496625	9606.ENSP00000415941	0	0	0	0	0.097	0.053	0	0.723	0.742
DAG1	LAMB2	9606.ENSP00000442600	9606.ENSP00000307156	0	0	0	0	0.109	0.100	0.650	0.257	0.763
DAG1	GMPPB	9606.ENSP00000442600	9606.ENSP00000309092	0	0	0	0	0.049	0	0	0.705	0.707
DAP3	MRPS10	9606.ENSP00000357320	9606.ENSP00000053468	0	0	0	0	0.381	0.997	0.800	0.625	0.999
DAP3	ACO2	9606.ENSP00000357320	9606.ENSP00000216254	0	0	0	0	0.147	0.845	0	0.080	0.867
DAP3	PTCD3	9606.ENSP00000357320	9606.ENSP00000254630	0	0	0	0	0.367	0.971	0.800	0.544	0.998
DAP3	MRPS18B	9606.ENSP00000357320	9606.ENSP00000259873	0	0	0	0	0.182	0.981	0.720	0.741	0.998
DAP3	MCAT	9606.ENSP00000357320	9606.ENSP00000290429	0	0	0	0	0.136	0.929	0	0	0.936
DAP3	MRPL21	9606.ENSP00000357320	9606.ENSP00000354580	0	0	0	0	0.148	0.991	0	0.320	0.994
DAP3	MRPL18	9606.ENSP00000357320	9606.ENSP00000356001	0	0	0	0	0.171	0.829	0	0	0.852
DAP3	MRPL45	9606.ENSP00000357320	9606.ENSP00000484903	0	0	0	0	0.410	0.815	0	0.566	0.948
DAP3	MRPL9	9606.ENSP00000357320	9606.ENSP00000357823	0	0	0	0	0.327	0.950	0	0.358	0.976
DAP3	MRPS21	9606.ENSP00000357320	9606.ENSP00000461930	0	0	0	0	0.321	0.887	0.800	0.485	0.991
DDB2	TRPC4AP	9606.ENSP00000256996	9606.ENSP00000252015	0	0	0	0	0.042	0	0.900	0.192	0.915
DDB2	GTF2H4	9606.ENSP00000256996	9606.ENSP00000259895	0	0	0	0	0.098	0	0.500	0.396	0.703
DDB2	WDTC1	9606.ENSP00000256996	9606.ENSP00000317971	0	0	0	0	0.049	0	0.540	0.403	0.716
DDB2	H4C14	9606.ENSP00000256996	9606.ENSP00000462667	0	0	0	0	0	0.816	0	0.096	0.827
DDB2	H4C8	9606.ENSP00000256996	9606.ENSP00000489236	0	0	0	0	0	0.816	0	0.096	0.827
DDB2	H2BC11	9606.ENSP00000256996	9606.ENSP00000476136	0	0	0	0	0	0.815	0	0.137	0.833
DDX23	PRPF6	9606.ENSP00000310723	9606.ENSP00000266079	0	0	0	0	0.645	0.973	0.800	0.903	0.999
DDX23	DHX38	9606.ENSP00000310723	9606.ENSP00000268482	0	0	0	0	0.483	0.170	0	0.965	0.983
DDX23	SF3B4	9606.ENSP00000310723	9606.ENSP00000271628	0	0	0	0	0.076	0.819	0	0.243	0.862
DDX23	CWC25	9606.ENSP00000310723	9606.ENSP00000478070	0	0	0	0	0.056	0.127	0	0.707	0.737
DDX23	DHX16	9606.ENSP00000310723	9606.ENSP00000365625	0	0	0	0	0.276	0.172	0.400	0.744	0.895
DDX23	SF3B2	9606.ENSP00000310723	9606.ENSP00000318861	0	0	0	0	0.240	0.825	0	0.466	0.923
DDX23	LSM2	9606.ENSP00000310723	9606.ENSP00000364813	0	0	0	0	0.097	0.866	0.900	0.281	0.990
DDX23	USP39	9606.ENSP00000310723	9606.ENSP00000312981	0	0	0	0	0.270	0.882	0.900	0.685	0.996
DDX23	PRPF3	9606.ENSP00000310723	9606.ENSP00000315379	0	0	0	0	0.467	0.964	0.900	0.667	0.999
DDX39B	RBM39	9606.ENSP00000416269	9606.ENSP00000253363	0	0	0	0	0.162	0.450	0.800	0.257	0.922
DDX39B	PRPF6	9606.ENSP00000416269	9606.ENSP00000266079	0	0	0	0	0.197	0.368	0.800	0.233	0.911
DDX39B	DHX38	9606.ENSP00000416269	9606.ENSP00000268482	0	0	0	0	0.080	0.286	0.800	0.618	0.943
DDX39B	PPIL3	9606.ENSP00000416269	9606.ENSP00000286175	0	0	0	0	0.141	0.125	0.800	0.064	0.840
DDX39B	LSM2	9606.ENSP00000416269	9606.ENSP00000364813	0	0	0	0	0.172	0.126	0.540	0.243	0.714
DDX39B	DHX16	9606.ENSP00000416269	9606.ENSP00000365625	0	0	0	0	0.145	0.122	0.800	0.405	0.898
DDX39B	POLDIP3	9606.ENSP00000416269	9606.ENSP00000397927	0	0	0	0	0.126	0.702	0.500	0.964	0.994
DDX52	RRP7A	9606.ENSP00000479504	9606.ENSP00000321449	0	0	0	0	0.403	0	0.500	0.743	0.917
DDX52	PDCD11	9606.ENSP00000479504	9606.ENSP00000358812	0	0	0	0	0.452	0.562	0.800	0.917	0.995
DDX52	AATF	9606.ENSP00000479504	9606.ENSP00000477848	0	0	0	0	0.870	0.497	0	0.612	0.972
DDX52	SYNRG	9606.ENSP00000479504	9606.ENSP00000483453	0	0.367	0	0	0.127	0	0	0.602	0.761
DHX16	PRPF6	9606.ENSP00000365625	9606.ENSP00000266079	0	0	0	0	0.126	0.289	0.900	0.520	0.966
DHX16	DHX38	9606.ENSP00000365625	9606.ENSP00000268482	0	0	0.093	0.883	0.158	0.994	0.400	0.130	0.997
DHX16	SF3B4	9606.ENSP00000365625	9606.ENSP00000271628	0	0	0	0	0.169	0.964	0.900	0.357	0.997
DHX16	PPIL3	9606.ENSP00000365625	9606.ENSP00000286175	0	0	0	0	0.072	0.098	0.800	0.067	0.823
DHX16	DDX23	9606.ENSP00000365625	9606.ENSP00000310723	0	0	0	0	0.276	0.172	0.400	0.744	0.895
DHX16	PRPF3	9606.ENSP00000365625	9606.ENSP00000315379	0	0	0	0	0.188	0.303	0.900	0.589	0.973
DHX16	SF3B2	9606.ENSP00000365625	9606.ENSP00000318861	0	0	0	0	0.199	0.998	0.900	0.443	0.999
DHX16	LSM2	9606.ENSP00000365625	9606.ENSP00000364813	0	0	0	0	0.062	0.311	0.900	0.354	0.952
DHX16	CWC25	9606.ENSP00000365625	9606.ENSP00000478070	0	0	0	0	0.081	0.289	0.400	0.762	0.894
DHX16	DDX39B	9606.ENSP00000365625	9606.ENSP00000416269	0	0	0	0	0.145	0.122	0.800	0.405	0.898
DHX38	PRPF6	9606.ENSP00000268482	9606.ENSP00000266079	0	0	0	0	0.305	0.113	0	0.644	0.761
DHX38	PPRC1	9606.ENSP00000268482	9606.ENSP00000278070	0	0	0	0	0.196	0.637	0	0.137	0.726
DHX38	SF3B2	9606.ENSP00000268482	9606.ENSP00000318861	0	0	0	0	0.183	0.267	0.400	0.439	0.771
DHX38	PRPF3	9606.ENSP00000268482	9606.ENSP00000315379	0	0	0	0	0.259	0.126	0	0.689	0.781
DHX38	PPIL3	9606.ENSP00000268482	9606.ENSP00000286175	0	0	0	0	0.069	0.098	0.800	0.067	0.822
DHX38	DDX39B	9606.ENSP00000268482	9606.ENSP00000416269	0	0	0	0	0.080	0.286	0.800	0.618	0.943
DHX38	DDX23	9606.ENSP00000268482	9606.ENSP00000310723	0	0	0	0	0.483	0.170	0	0.965	0.983
DHX38	DHX16	9606.ENSP00000268482	9606.ENSP00000365625	0	0	0.093	0.883	0.158	0.994	0.400	0.130	0.997
DHX38	CWC25	9606.ENSP00000268482	9606.ENSP00000478070	0	0	0	0	0.055	0.991	0	0.859	0.998
DXO	PRRT1	9606.ENSP00000364498	9606.ENSP00000211413	0	0	0	0	0.054	0.086	0	0.695	0.713
DXO	C2	9606.ENSP00000364498	9606.ENSP00000299367	0	0	0	0	0	0	0	0.740	0.740
DXO	TJAP1	9606.ENSP00000364498	9606.ENSP00000361522	0	0	0	0	0.082	0	0	0.901	0.905
DXO	STK19	9606.ENSP00000364498	9606.ENSP00000364482	0	0	0	0	0.161	0	0	0.813	0.836
