"causal_effect","causal_pvalue","pleiotropy_effect","pleiotropy_pvalue","sigma_cisSNP","sigma_error_1","sigma_error_2","gene","Chromosome","ENSEMBL"
8.46288323488249e-05,0.948648062092439,-7.48836481475456e-05,0.789815765439164,0.0468294170483424,0.235527331611038,0.999998526028217,"ENSG00000128739.21",15,"ENSG00000128739"
0.00148456701897844,0.201075712738313,-0.00017351945512984,0.493957295493447,0.0480183116167072,0.0714266074994503,0.999996044939888,"ENSG00000257151.1",15,"ENSG00000257151"
-0.000844096211480655,0.595113115355406,0.00013248189903007,0.68743183047725,0.0449890814958937,0.333831038850131,0.999998167967125,"ENSG00000175318.11",15,"ENSG00000175318"
-0.000124283298013637,0.914056870813027,-0.000280958166649324,0.211852388653994,0.0382771762839375,0.0116191182871207,0.999996331147682,"ENSG00000212664.5",15,"ENSG00000212664"
0.000924687485730937,0.399394734004315,3.15611442234313e-05,0.901864535855968,0.0562028571389347,0.20349388828325,0.999997608679102,"ENSG00000261423.1",15,"ENSG00000261423"
0.00141512049532724,0.0997877680082488,0.00041331842917834,0.10666784465701,0.0896592018948016,0.0952543084675667,0.999991516474027,"ENSG00000260144.1",15,"ENSG00000260144"
0.000511032613051579,0.613047305265586,-0.000133504605996665,0.519884528584005,0.0424751920907315,0.0241258212272614,0.999997669041232,"ENSG00000137817.16",15,"ENSG00000137817"
-0.000104527786748266,0.929476746648316,-0.000343164962373383,0.114214670641113,0.0345779087165666,0.0904740961795936,0.99999501280358,"ENSG00000278570.4",15,"ENSG00000278570"
-0.00229343931454072,0.133769559327692,2.16494269354491e-05,0.945599772087724,0.0440682242410104,0.310264476336723,0.999994524005754,"ENSG00000213614.9",15,"ENSG00000213614"
-0.00231604762425238,0.184838395127945,0.000510229861048098,0.212406262699792,0.0589632899881435,0.477906617753389,0.999994860110171,"ENSG00000259430.1",15,"ENSG00000259430"
0.000851257340473271,0.650381645578346,0.000956355066686837,0.0444002109228198,0.0665062761881809,0.483260559861191,0.999992529287322,"ENSG00000259540.1",15,"ENSG00000259540"
0.00628144779102678,0.000844998268646317,-0.00123306348155708,0.00927247130672451,0.0644756929527207,0.273145758417131,0.999982335914141,"ENSG00000140471.16",15,"ENSG00000140471"
-0.00134550320555777,0.337087257563623,2.1003407580173e-05,0.941618786602268,0.0431011230593127,0.224234442468885,0.999997148450177,"ENSG00000241362.2",15,"ENSG00000241362"
-0.00203125655430636,0.321606138335958,-0.000710954306726293,0.045601056121712,0.0358927770043878,0.589121985397897,0.999991752386586,"ENSG00000131871.14",15,"ENSG00000131871"
0.00115942380717108,0.4176782804772,0.000509721666575775,0.065721741117217,0.0392331643756506,0.313105941792706,0.999993712406448,"ENSG00000140526.17",15,"ENSG00000140526"
-0.000108688932985715,0.945863997687659,-5.42313966825194e-05,0.832313415684244,0.0276301971608027,0.367343985074004,0.999998557018776,"ENSG00000258384.1",15,"ENSG00000258384"
-1.96452949116797e-05,0.989438863491453,0.000193000989023012,0.477912302372113,0.0362915756510167,0.338209779537573,0.999997919883296,"ENSG00000214433.4",15,"ENSG00000214433"
-0.000184021842516094,0.882079838943445,8.81686126495095e-05,0.679946424300261,0.0297312674000747,0.00972964160262119,0.999998279930691,"ENSG00000128849.10",15,"ENSG00000128849"
0.000793720499100275,0.602204682963452,0.000237241394763329,0.452331881723439,0.0447825310607549,0.324115863805026,0.99999731736665,"ENSG00000270964.1",15,"ENSG00000270964"
-0.000296296958831674,0.787386229725435,7.54974840529292e-05,0.752883735784823,0.0480039242630912,0.0369476069205477,0.99999842694671,"ENSG00000189227.5",15,"ENSG00000189227"
-0.00379570222966026,0.0264258859029079,-0.000839545150494785,0.0402055847541732,0.0585267119184503,0.368270683634147,0.999989943017411,"ENSG00000185596.16",15,"ENSG00000185596"
0.000448385937283765,0.824247297868014,-4.53205219107138e-05,0.898087793288754,0.0319915940647415,0.628043909653594,0.999998532916252,"ENSG00000183475.12",15,"ENSG00000183475"
-0.00143759614448476,0.336889807427233,-0.000438162143436574,0.313215679015842,0.0846191199029497,0.168201260962501,0.999996859248754,"ENSG00000259604.5",15,"ENSG00000259604"
-0.00109499946417788,0.352038085716046,-0.000148566945868951,0.516660950393571,0.0381060971231472,0.0350171899139971,0.999996503379021,"ENSG00000154227.13",15,"ENSG00000154227"
-0.000571513972529752,0.702578150236657,0.000413002343902824,0.315875925252249,0.0762801154154472,0.189055328120841,0.99999574524858,"ENSG00000232386.9",15,"ENSG00000232386"
-0.0019880526940764,0.153372127807593,-0.000139054646413752,0.597629639101957,0.0373565244506654,0.274807388701739,0.999995422493624,"ENSG00000140479.16",15,"ENSG00000140479"
