"causal_effect","causal_pvalue","pleiotropy_effect","pleiotropy_pvalue","sigma_cisSNP","sigma_error_1","sigma_error_2","transcript","Chromosome","chr","start","end","cluster","gene","ENSEMBL"
-0.000298750666880148,0.822046733325378,0.000555509922093922,0.0190652220703983,0.033063218216991,0.156583610524437,0.999990155692021,"chr7:92457589:92461319:clu_29592:ENSG00000244055.1",7,"chr7","92457589","92461319","clu_29592","ENSG00000244055.1","ENSG00000244055"
-0.00100210293312848,0.45061349649218,0.000532672172123903,0.0213583075604546,0.0317071508000767,0.172082110286762,0.999989915464201,"chr7:92457589:92461319:clu_29592:ENSG00000157259.6",7,"chr7","92457589","92461319","clu_29592","ENSG00000157259.6","ENSG00000157259"
0.00130963102068649,0.22440451133589,-7.99998947959282e-05,0.750483497727987,0.0551076989441457,0.0931146890788275,0.999996564736676,"chr7:92242137:92244902:clu_29591:ENSG00000001631.15",7,"chr7","92242137","92244902","clu_29591","ENSG00000001631.15","ENSG00000001631"
0.00236234789445876,0.0299549648283281,-0.00023153869405247,0.280051871469773,0.0389474443053335,0.0232352588767243,0.99999073273126,"chr7:92448877:92449092:clu_29599:ENSG00000157259.6",7,"chr7","92448877","92449092","clu_29599","ENSG00000157259.6","ENSG00000157259"
0.00146250303342515,0.236733271160711,-2.77349868234566e-05,0.900523119385868,0.033545606504062,0.219948118717663,0.999996589788295,"chr7:93311272:93323611:clu_29624:ENSG00000004766.15",7,"chr7","93311272","93323611","clu_29624","ENSG00000004766.15","ENSG00000004766"
-0.000111857686711267,0.92211323918073,0.000138710060951727,0.539613024786975,0.0399232976784541,0.109613882391879,0.99999808119281,"chr7:92581603:92590268:clu_29612:ENSG00000234545.7",7,"chr7","92581603","92590268","clu_29612","ENSG00000234545.7","ENSG00000234545"
0.000144533042758685,0.909719669665619,-7.55823542655723e-05,0.738934939768577,0.0322898009641852,0.170665618728402,0.999998461863662,"chr7:39782799:39789354:clu_28902:ENSG00000188185.11",7,"chr7","39782799","39789354","clu_28902","ENSG00000188185.11","ENSG00000188185"
-0.00249544621692992,0.0242426366812192,-0.000225393555903533,0.34663758730527,0.0468550599175798,0.0193459218989689,0.999986461138462,"chr7:39782799:39788482:clu_28902:ENSG00000188185.11",7,"chr7","39782799","39788482","clu_28902","ENSG00000188185.11","ENSG00000188185"
0.000376623160655152,0.713282580978376,0.000126002557441923,0.544543814191013,0.041362794874352,0.0194573389469687,0.999997881609889,"chr7:76005404:76021851:clu_29398:ENSG00000127952.16",7,"chr7","76005404","76021851","clu_29398","ENSG00000127952.16","ENSG00000127952"
0.000308045016723753,0.751861603098344,1.74730785093536e-05,0.939195856524816,0.055398954590064,0.0102565183457319,0.999998450531713,"chr7:74601180:74602365:clu_29339:ENSG00000006704.10",7,"chr7","74601180","74602365","clu_29339","ENSG00000006704.10","ENSG00000006704"
-0.00291814118137871,0.00687278455043375,-5.25844083940757e-05,0.833932421767679,0.0541378249934171,0.0451108247432485,0.999985268256695,"chr7:75954180:75970987:clu_29386:ENSG00000127948.15",7,"chr7","75954180","75970987","clu_29386","ENSG00000127948.15","ENSG00000127948"
-0.00449916902945357,5.94724810698998e-05,0.000164207205812168,0.429104965247752,0.0364181888535112,0.169960677632061,0.999974763810193,"chr7:74536275:74538136:clu_29335:ENSG00000006704.10",7,"chr7","74536275","74538136","clu_29335","ENSG00000006704.10","ENSG00000006704"
5.70983573211744e-05,0.961288562899643,7.99269211039144e-05,0.728445242365009,0.0384455411599815,0.0130627856524963,0.999998452938179,"chr7:74884524:74885023:clu_29351:ENSG00000277072.4",7,"chr7","74884524","74885023","clu_29351","ENSG00000277072.4","ENSG00000277072"
0.00117624312078174,0.363637607141082,0.000116414135983705,0.681234244812874,0.0492286272651796,0.126508581582131,0.999997449694204,"chr7:74519719:74521208:clu_29332:ENSG00000006704.10",7,"chr7","74519719","74521208","clu_29332","ENSG00000006704.10","ENSG00000006704"
-0.000552125058263677,0.649803579224989,0.000425164726428944,0.177963275491835,0.0674924960380397,0.0140209777342469,0.999996123855048,"chr7:75412932:75413872:clu_29373:ENSG00000223705.9",7,"chr7","75412932","75413872","clu_29373","ENSG00000223705.9","ENSG00000223705"
-0.00130536669559592,0.290754495546947,-9.46896167275836e-05,0.664066317429073,0.0319973919984023,0.108677269761779,0.999996827360857,"chr7:75486247:75507781:clu_29366:ENSG00000127957.17",7,"chr7","75486247","75507781","clu_29366","ENSG00000127957.17","ENSG00000127957"
0.00144588807922013,0.188506610611714,0.000330382144462373,0.125035027683067,0.0386520823549439,0.0454085165713267,0.999992337522557,"chr7:74884524:74887683:clu_29351:ENSG00000277072.4",7,"chr7","74884524","74887683","clu_29351","ENSG00000277072.4","ENSG00000277072"
-0.0019335116323766,0.106944974690629,5.81111837894392e-05,0.816475701802167,0.0463091420051379,0.184111951106873,0.999994343016546,"chr7:74210088:74215947:clu_29319:ENSG00000086730.16",7,"chr7","74210088","74215947","clu_29319","ENSG00000086730.16","ENSG00000086730"
0.00087437048646992,0.483104541839373,0.000263749622641777,0.259540334987276,0.0356008238999453,0.0464246824023374,0.999994903574863,"chr7:75366438:75394973:clu_29369:ENSG00000205583.13",7,"chr7","75366438","75394973","clu_29369","ENSG00000205583.13","ENSG00000205583"
-0.000552125058263677,0.649803579224989,0.000425164726428944,0.177963275491835,0.0674924960380397,0.0140209777342469,0.999996123855048,"chr7:75412932:75413872:clu_29373:ENSG00000178809.11",7,"chr7","75412932","75413872","clu_29373","ENSG00000178809.11","ENSG00000178809"
-0.000793508434599468,0.480843169944299,-0.000304810433517577,0.241097109469151,0.0535701408719444,0.0176680642626651,0.999994539185561,"chr7:74519719:74521213:clu_29332:ENSG00000006704.10",7,"chr7","74519719","74521213","clu_29332","ENSG00000006704.10","ENSG00000006704"
0.00146787862061328,0.183029461915321,0.000234463026923861,0.237204288052652,0.032634145848714,0.0165081677146463,0.999994370064247,"chr7:75057616:75058588:clu_29357:ENSG00000274523.4",7,"chr7","75057616","75058588","clu_29357","ENSG00000274523.4","ENSG00000274523"
0.00126478879770639,0.255919591551447,0.000347025221030618,0.141710959656084,0.0454502594169817,0.0474021768825246,0.999992510070481,"chr7:75143978:75147694:clu_29363:ENSG00000174428.16",7,"chr7","75143978","75147694","clu_29363","ENSG00000174428.16","ENSG00000174428"
-0.00118533145914363,0.402799676108042,8.64885839236725e-07,0.997673351131412,0.0380434678931134,0.208558817316492,0.999997390764197,"chr7:131506321:131506579:clu_30330:ENSG00000128567.16",7,"chr7","131506321","131506579","clu_30330","ENSG00000128567.16","ENSG00000128567"
