"causal_effect","causal_pvalue","pleiotropy_effect","pleiotropy_pvalue","sigma_cisSNP","sigma_error_1","sigma_error_2","transcript","Chromosome","chr","start","end","cluster","gene","ENSEMBL"
-7.4253780106554e-05,0.969611185460544,-7.66986695714365e-05,0.839426359626021,0.037345863741874,0.203931194249817,0.999998525755,"chr4:56963661:56964406:clu_36513:ENSG00000084092.6",4,"chr4","56963661","56964406","clu_36513","ENSG00000084092.6","ENSG00000084092"
-0.00184266150152273,0.137789496782628,0.000380873986641633,0.137220445207414,0.0431266261075734,0.176512547394317,0.999992589139562,"chr4:56343684:56349263:clu_36495:ENSG00000157426.13",4,"chr4","56343684","56349263","clu_36495","ENSG00000157426.13","ENSG00000157426"
-0.000756821866615822,0.568368230307108,0.00017766471158727,0.490635226289234,0.0392184288500713,0.198628416043236,0.999997159084187,"chr4:56453761:56459372:clu_36501:ENSG00000128050.8",4,"chr4","56453761","56459372","clu_36501","ENSG00000128050.8","ENSG00000128050"
0.00113431447286408,0.432145867507725,0.000453684327348163,0.0992827522011959,0.0380484194771542,0.335630911609948,0.999993036108031,"chr4:56820579:56821608:clu_36510:ENSG00000128040.10",4,"chr4","56820579","56821608","clu_36510","ENSG00000128040.10","ENSG00000128040"
-0.00119589068172293,0.394039650080169,-0.000407680512134577,0.11699856725449,0.0361889894232855,0.259099781623382,0.999994920106537,"chr4:83267774:83269860:clu_36739:ENSG00000173085.13",4,"chr4","83267774","83269860","clu_36739","ENSG00000173085.13","ENSG00000173085"
0.000154708200060066,0.900027050793326,0.000227353995160901,0.255852128145158,0.0266039711253636,0.0447060313545014,0.999996738539565,"chr4:83482244:83484986:clu_36752:ENSG00000163322.13",4,"chr4","83482244","83484986","clu_36752","ENSG00000163322.13","ENSG00000163322"
0.000653945679932062,0.650363245824111,-0.000699807782740634,0.012055705507762,0.0401147555353315,0.33086896285283,0.999989906708924,"chr4:83459797:83460973:clu_36751:ENSG00000163319.10",4,"chr4","83459797","83460973","clu_36751","ENSG00000163319.10","ENSG00000163319"
-0.000434760979157719,0.762277273592265,-9.02829857736554e-05,0.721353852834663,0.033991239949917,0.288727810796668,0.99999835078184,"chr4:83269993:83272087:clu_36739:ENSG00000173085.13",4,"chr4","83269993","83272087","clu_36739","ENSG00000173085.13","ENSG00000173085"
0.000417227501114719,0.708575648719441,9.2083631508331e-05,0.627143847236547,0.0288655544779069,0.00421389142936632,0.999998208214906,"chr4:137521696:137528478:clu_37267:ENSG00000189184.11",4,"chr4","137521696","137528478","clu_37267","ENSG00000189184.11","ENSG00000189184"
0.00356512991646454,0.0600940582562917,0.000947467888255508,0.0242622493823419,0.052008760605895,0.439608665824105,0.999990359185537,"chr4:1322503:1332757:clu_35807:ENSG00000090316.15",4,"chr4","1322503","1332757","clu_35807","ENSG00000090316.15","ENSG00000090316"
