"phenotype","causal_b","causal_se","causal_p"
"chr22:28746008:28751241:clu_25258:ENSG00000100209.9",-0.0034487269340053,0.00428108888514317,0.420489460373569
"chr22:28783645:28786089:clu_25260:ENSG00000159873.9",0.00656896093766351,0.00517334819894527,0.204166666644169
"chr22:28800737:28821972:clu_25260:ENSG00000226471.6",0.011978862443317,0.00492439488454928,0.0149927055274727
"chr22:28844841:28846318:clu_25260:ENSG00000226471.6",-0.0131140531100732,0.00412291282366584,0.00146882264862813
"chr22:28822179:28844127:clu_25260:ENSG00000226471.6",-0.0130561635014541,0.00489930302167504,0.0077010710801817
"chr22:28844841:28846318:clu_25260:ENSG00000159873.9",-0.0134457675647009,0.00390927078483614,0.000582883034079162
"chr22:28783645:28786089:clu_25260:ENSG00000226471.6",0.00762148372587166,0.00532304263109771,0.152203687083387
"chr22:28822179:28844127:clu_25260:ENSG00000159873.9",-0.011565050247067,0.0047907890163933,0.0157776889700542
"chr22:28800737:28821972:clu_25260:ENSG00000159873.9",0.00872263964993376,0.00452670616941818,0.053988526805134
"chr22:43984000:43988897:clu_25918:ENSG00000100347.14",-0.00925969200052468,0.0029163287815402,0.00149774874514641
"chr22:44971432:44971792:clu_25943:ENSG00000056487.15",-0.00146111214163007,0.00275931903334556,0.596445395652072
"chr22:45310183:45322371:clu_25957:ENSG00000100376.11",-0.000218448137190219,0.00349492386268055,0.950161153974164
"chr22:44825593:44845269:clu_25937:ENSG00000241484.9",-0.000592671918415468,0.00246812331043413,0.810229016812499
"chr22:45321793:45322042:clu_25957:ENSG00000100376.11",-0.00166933773722648,0.00354731113433145,0.637931820441208
"chr22:44809098:44814672:clu_25935:ENSG00000241484.9",6.57026777366943e-05,0.00309399915771955,0.983057780642126
"chr22:44735162:44736772:clu_25933:ENSG00000186654.20",0.00849759301567349,0.00275745552649689,0.002058366198876
"chr22:44735162:44736772:clu_25933:ENSG00000241484.9",0.00762694861950571,0.00272985223107098,0.00520757260995552
"chr22:43984000:43989111:clu_25918:ENSG00000100347.14",0.00885752250360087,0.00276595033674715,0.00136314444891461
"chr22:45418244:45422290:clu_25962:ENSG00000128408.8",-0.00752696644303531,0.00276493272753451,0.00648299650022555
"chr22:44752627:44786457:clu_25933:ENSG00000186654.20",-0.000937496092496358,0.0027416571476348,0.73239224530183
"chr22:44752627:44786457:clu_25933:ENSG00000241484.9",-0.00130465650302786,0.00270465412131986,0.629539847499177
"chr22:37226803:37231231:clu_25566:ENSG00000128340.14",-0.000884915307050548,0.00295422716834968,0.764526481117509
"chr22:35617265:35623191:clu_25512:ENSG00000198125.12",0.00434505390092187,0.00315722312793713,0.168751543114807
"chr22:36322521:36326024:clu_25537:ENSG00000100345.20",0.011719183118434,0.00583130406334781,0.0444627439825336
"chr22:35765483:35768257:clu_25516:ENSG00000100320.22",-0.00349972598685587,0.00361944106375177,0.33358181300261
"chr22:37190677:37190865:clu_25564:ENSG00000133466.13",0.00304814742159259,0.00244149594620876,0.211857042682075
"chr22:35768349:35778025:clu_25516:ENSG00000100320.22",0.00400074884282409,0.00364453511515494,0.272318413539925
"chr22:21001411:21001832:clu_25022:ENSG00000184436.11",-0.00563128249756814,0.0034667901551877,0.104301014285614
"chr22:20430908:20431745:clu_24981:ENSG00000099910.16",0.00547395503862443,0.00419211220456691,0.191629106478029
"chr22:19441694:19447378:clu_24903:ENSG00000242259.8",0.00398979659934093,0.00442387702312775,0.367121770785341
"chr22:19188091:19191304:clu_24888:ENSG00000070371.15",-0.00338794398687773,0.00377205048663972,0.369094726564549
"chr22:20709499:20709908:clu_24994:ENSG00000241973.10",0.00278999356249852,0.00404002859544506,0.489824756059311
"chr22:19883461:19895407:clu_24928:ENSG00000184470.20",-0.00533566937220437,0.00363746552100109,0.142412894691858
"chr22:19721736:19721833:clu_24915:ENSG00000184702.17",0.0128198393028109,0.00449102128735226,0.00430980136328607
"chr22:19961289:19962233:clu_24933:ENSG00000093010.13",0.0012907519403284,0.00331768359987104,0.697237568536744
"chr22:20734553:20736409:clu_24998:ENSG00000241973.10",0.0119731593347731,0.00331212733184855,0.000300410972633558
"chr22:20709997:20710699:clu_24994:ENSG00000241973.10",-0.00335754839082881,0.00311647586220142,0.281322052468827
"chr22:20498791:20499241:clu_24984:ENSG00000099917.17",-0.000816602699223524,0.00347470262581109,0.814198104673721
"chr22:20430908:20431745:clu_24981:ENSG00000244486.8",0.0045908406000211,0.00426803311670231,0.282091073140349
"chr22:19979080:19979392:clu_24945:ENSG00000099889.13",0.00690149172887027,0.00346265716135186,0.0462482930476116
"chr22:19187728:19187981:clu_24888:ENSG00000070371.15",0.000931361266776636,0.0041311910705948,0.821632185758362
"chr22:19441694:19447378:clu_24903:ENSG00000100084.14",0.00398979659934093,0.00442387702312775,0.367121770785341
"chr22:19961289:19962527:clu_24933:ENSG00000093010.13",-0.0019810542595878,0.0031698236091254,0.531988760485945
"chr22:19895200:19895407:clu_24928:ENSG00000184470.20",0.00880797124216609,0.00378323064704093,0.0199035394358903
"chr22:20061683:20063338:clu_24950:ENSG00000183597.15",-0.00160128978491857,0.0030681610592738,0.601736207400566
"chr22:20429355:20429536:clu_24980:ENSG00000244486.8",0.00426562260228804,0.0034807831883689,0.220395241035743
"chr22:26532745:26536288:clu_25230:ENSG00000128294.15",-0.0096038804852821,0.00278804820121595,0.000571776322657924
"chr22:26510702:26511119:clu_25227:ENSG00000100109.16",0.00423042319487508,0.002533552314524,0.0949669446770187
"chr22:26877413:26879953:clu_25238:ENSG00000223704.1",0.00172955823023983,0.00230933489657702,0.453892077110253
"chr22:26510702:26512099:clu_25227:ENSG00000100109.16",-0.000838338587361732,0.00229308713443549,0.71466815397376
"chr22:26877413:26879953:clu_25238:ENSG00000235271.5",0.00192934161435397,0.00232020633619794,0.40566931351625
"chr22:20995026:20995763:clu_25020:ENSG00000099949.18",-0.00197419164471066,0.00339817521852186,0.561269838316214
"chr22:20807458:20810967:clu_25006:ENSG00000241973.10",-0.00909844165804013,0.00365679154252531,0.0128429727186865
"chr22:20985897:20987504:clu_25015:ENSG00000099949.18",-0.00437820687526685,0.00356065938691297,0.218844815831121
"chr22:20734553:20742228:clu_24998:ENSG00000241973.10",-0.00172711134240716,0.00340789969579926,0.612297673288319
"chr22:21688849:21693816:clu_25054:ENSG00000100023.18",-0.00466201701662862,0.00370020429746134,0.207692800231076
"chr22:20736591:20742228:clu_24998:ENSG00000241973.10",-0.00659836062364276,0.00375662524644925,0.0790099572553378
"chr22:21685726:21686483:clu_25053:ENSG00000100023.18",-0.00253401424063858,0.00393284655469646,0.51936752897
"chr22:21001411:21001546:clu_25022:ENSG00000184436.11",-0.00341363909093604,0.00336304793598677,0.310085213678844
"chr22:20751026:20751293:clu_25000:ENSG00000241973.10",0.00471755407881623,0.00363062906345311,0.193814753030508
"chr22:21688849:21691385:clu_25054:ENSG00000100023.18",0.00222466503539441,0.00363672597829379,0.54072174979619
"chr22:21701218:21703370:clu_25057:ENSG00000100027.14",0.00827732775388311,0.00441634903986907,0.0608964257832839
"chr22:45168246:45171600:clu_25948:ENSG00000093000.18",0.00177808244445419,0.00329763910578862,0.58974981469722
"chr22:44849060:44859731:clu_25939:ENSG00000241484.9",-0.0058001955649106,0.00238212538962627,0.0148966236994869
"chr22:44808438:44809006:clu_25935:ENSG00000241484.9",0.0040762602759541,0.00282852233282089,0.14954876981198
"chr22:44920490:44933473:clu_25943:ENSG00000056487.15",-0.000785215923294657,0.00281434826728395,0.780241346215844
"chr22:44808438:44814672:clu_25935:ENSG00000241484.9",0.000934108963166764,0.0027362503758757,0.732815381033594
"chr22:26717459:26722006:clu_25234:ENSG00000244625.5",0.00524787139786116,0.00230529020330669,0.0228192581836599
"chr22:25455840:25457259:clu_25207:ENSG00000100058.12",-4.70121107750964e-05,0.00293027981911776,0.987199642841882
"chr22:25520162:25520682:clu_25208:ENSG00000100058.12",-0.00188517105699612,0.00340475022011396,0.579792043956168
"chr22:33277255:33283202:clu_25485:ENSG00000133424.20",-0.0051722710009469,0.00404142728629948,0.200610926266185
"chr22:33283348:33304229:clu_25485:ENSG00000133424.20",0.00111311509794717,0.0036235301878869,0.758698156004346
"chr22:33761558:33919995:clu_25490:ENSG00000133424.20",-0.00898402891697768,0.00331204381380595,0.00667710855183201
"chr22:35752655:35756105:clu_25514:ENSG00000100320.22",-0.00527526296478918,0.00378500191288412,0.163399772023043
"chr22:36149142:36149259:clu_25522:ENSG00000128284.19",-0.000305218427859104,0.0034345574583571,0.929187700137418
"chr22:36231466:36233153:clu_25528:ENSG00000128335.13",0.00635882294222216,0.00353218895560245,0.0718211820858983
"chr22:36861203:36864045:clu_25555:ENSG00000100365.14",0.00403572566495999,0.00268435679260979,0.132729814644768
"chr22:36228280:36231340:clu_25527:ENSG00000128335.13",-0.0041335471341876,0.00330279671350261,0.210741400293406
"chr22:36864129:36864919:clu_25555:ENSG00000100365.14",-0.00514688900429612,0.00278772843533485,0.0648535515065264
"chr22:36766197:36767306:clu_25550:ENSG00000100360.14",-0.0070579753571527,0.0026101053690054,0.00684905089456633
"chr22:36764036:36766138:clu_25550:ENSG00000100360.14",0.0085503575923895,0.00253214352073906,0.000733537951259522
"chr22:36480787:36481564:clu_25542:ENSG00000100348.9",-0.00415369418992607,0.00288118903409079,0.149398390753882
"chr22:36199376:36201700:clu_25525:ENSG00000100336.17",-0.00604429992122159,0.00266454828401562,0.0233039557864222
"chr22:36237363:36239441:clu_25529:ENSG00000128335.13",0.00341615579633451,0.00319344768172903,0.2847367687965
"chr22:36254999:36257319:clu_25531:ENSG00000100342.20",-0.00574151934418754,0.00503719827890116,0.254359644972832
"chr22:35756144:35759888:clu_25514:ENSG00000100320.22",-0.000184121988199434,0.00303948019016282,0.95169624929287
"chr22:36149142:36156844:clu_25522:ENSG00000128284.19",0.00823000780961531,0.00399951191535817,0.0396138458399611
"chr22:36159680:36160669:clu_25522:ENSG00000128284.19",-0.00904861997753677,0.00418374049549578,0.0305560868059812
"chr22:37024810:37025002:clu_25553:ENSG00000128309.16",0.00644798593092477,0.00390981871879344,0.0991112304369784
"chr22:36504367:36504515:clu_25543:ENSG00000100350.14",0.00757732610787071,0.00315825530345724,0.0164303693991018
"chr22:37195512:37197603:clu_25565:ENSG00000133466.13",0.00192496947625203,0.00305429030735421,0.528530385939063
